id,value
Public Utilities|Electric Utilities: Central|PPL Corporation Common Stock(PPL)(21.350B),PPL
Public Utilities|Electric Utilities: Central|Pampa Energia S.A. Pampa Energia S.A.(PAM)(0.851B),PAM
Public Utilities|Electric Utilities: Central|Pinnacle West Capital Corporation Common Stock(PNW)(8.689B),PNW
Public Utilities|Electric Utilities: Central|Portland General Electric Co Common Stock(POR)(3.747B),POR
Public Utilities|Electric Utilities: Central|Southern Company (The) 2019 Series A Corporate Units(SOLN)(0.000B),SOLN
Public Utilities|Electric Utilities: Central|Southern Company (The) Common Stock(SO)(63.216B),SO
Public Utilities|Electric Utilities: Central|Southern Company (The) Series 2016A 5.25% Junior Subordinated Notes due October 1 2076(SOJB)(0.000B),SOJB
Public Utilities|Electric Utilities: Central|Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077(SOJC)(0.000B),SOJC
Public Utilities|Electric Utilities: Central|Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30 2080(SOJD)(0.000B),SOJD
Public Utilities|Electric Utilities: Central|Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060(SOJE)(0.000B),SOJE
Public Utilities|Electric Utilities: Central|Tennessee Valley Authority Common Stock(TVC)(0.000B),TVC
Public Utilities|Electric Utilities: Central|Tennessee Valley Authority(TVE)(0.000B),TVE
Public Utilities|Electric Utilities: Central|TransAlta Corporation Ordinary Shares(TAC)(2.580B),TAC
Public Utilities|Electric Utilities: Central|Vistra Corp. Common Stock(VST)(11.323B),VST
Public Utilities|Environmental Services,NA
Public Utilities|Environmental Services|Avalon Holdings Corporation Common Stock(AWX)(0.019B),AWX
Public Utilities|Environmental Services|Casella Waste Systems Inc. Class A Common Stock(CWST)(3.042B),CWST
Public Utilities|Environmental Services|GFL Environmental Inc. Subordinate voting shares no par value(GFL)(9.171B),GFL
Public Utilities|Environmental Services|GFL Environmental Inc. Tangible Equity Units(GFLU)(0.000B),GFLU
Public Utilities|Environmental Services|Republic Services Inc. Common Stock(RSG)(29.233B),RSG
Public Utilities|Environmental Services|US Ecology Inc Common Stock(ECOL)(1.190B),ECOL
Public Utilities|Environmental Services|US Ecology Inc. Warrant(ECOLW)(0.000B),ECOLW
Public Utilities|Environmental Services|Waste Connections Inc. Common Shares(WCN)(26.187B),WCN
Public Utilities|Environmental Services|Waste Management Inc. Common Stock(WM)(47.936B),WM
