id,value
Technology|Computer Software: Prepackaged Software|BlackBerry Limited Common Stock(BB)(6.155B),BB
Technology|Computer Software: Prepackaged Software|BlackLine Inc. Common Stock(BL)(7.413B),BL
Technology|Computer Software: Prepackaged Software|Blackbaud Inc. Common Stock(BLKB)(3.567B),BLKB
Technology|Computer Software: Prepackaged Software|Bottomline Technologies Inc. Common Stock(EPAY)(2.168B),EPAY
Technology|Computer Software: Prepackaged Software|Box Inc. Class A Common Stock(BOX)(2.960B),BOX
Technology|Computer Software: Prepackaged Software|Bridgeline Digital Inc. Common Stock(BLIN)(0.020B),BLIN
Technology|Computer Software: Prepackaged Software|C3.ai Inc. Class A Common Stock(AI)(12.801B),AI
Technology|Computer Software: Prepackaged Software|CLPS Incorporation Common Stock(CLPS)(0.150B),CLPS
Technology|Computer Software: Prepackaged Software|CYREN Ltd. Ordinary Shares(CYRN)(0.069B),CYRN
Technology|Computer Software: Prepackaged Software|Cadence Design Systems Inc. Common Stock(CDNS)(38.919B),CDNS
Technology|Computer Software: Prepackaged Software|Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares(CANG)(1.760B),CANG
Technology|Computer Software: Prepackaged Software|Cerence Inc. Common Stock(CRNC)(4.638B),CRNC
Technology|Computer Software: Prepackaged Software|Ceridian HCM Holding Inc. Common Stock(CDAY)(14.217B),CDAY
Technology|Computer Software: Prepackaged Software|Certara Inc. Common Stock(CERT)(5.691B),CERT
Technology|Computer Software: Prepackaged Software|ChannelAdvisor Corporation Common Stock(ECOM)(0.737B),ECOM
Technology|Computer Software: Prepackaged Software|Check Point Software Technologies Ltd. Ordinary Shares(CHKP)(16.325B),CHKP
Technology|Computer Software: Prepackaged Software|Cheetah Mobile Inc. American Depositary Shares each representing 10 Class Ordinary Shares(CMCM)(0.450B),CMCM
Technology|Computer Software: Prepackaged Software|Churchill Capital Corp II Class A Common Stock(CCX)(0.876B),CCX
Technology|Computer Software: Prepackaged Software|Citrix Systems Inc. Common Stock(CTXS)(16.242B),CTXS
Technology|Computer Software: Prepackaged Software|Cloopen Group Holding Limited American Depositary Shares each representing two Class A Ordinary Shares(RAAS)(4.850B),RAAS
Technology|Computer Software: Prepackaged Software|Cloudera Inc. Common Stock(CLDR)(5.255B),CLDR
Technology|Computer Software: Prepackaged Software|Cloudflare Inc. Class A Common Stock(NET)(25.552B),NET
Technology|Computer Software: Prepackaged Software|Cognyte Software Ltd. Ordinary Shares(CGNT)(2.049B),CGNT
Technology|Computer Software: Prepackaged Software|Commvault Systems Inc. Common Stock(CVLT)(3.177B),CVLT
Technology|Computer Software: Prepackaged Software|Cornerstone OnDemand Inc. Common Stock(CSOD)(3.392B),CSOD
Technology|Computer Software: Prepackaged Software|CounterPath Corporation Common Stock(CPAH)(0.022B),CPAH
Technology|Computer Software: Prepackaged Software|Coupa Software Incorporated Common Stock(COUP)(26.699B),COUP
Technology|Computer Software: Prepackaged Software|CrowdStrike Holdings Inc. Class A Common Stock(CRWD)(52.937B),CRWD
Technology|Computer Software: Prepackaged Software|CyberArk Software Ltd. Ordinary Shares(CYBR)(6.138B),CYBR
Technology|Computer Software: Prepackaged Software|DIRTT Environmental Solutions Ltd. Common Shares(DRTT)(0.196B),DRTT
Technology|Computer Software: Prepackaged Software|Datadog Inc. Class A Common Stock(DDOG)(32.402B),DDOG
Technology|Computer Software: Prepackaged Software|Datasea Inc. Common Stock(DTSS)(0.088B),DTSS
Technology|Computer Software: Prepackaged Software|Datto Holding Corp. Common Stock(MSP)(3.869B),MSP
Technology|Computer Software: Prepackaged Software|Descartes Systems Group Inc. (The) Common Stock(DSGX)(5.151B),DSGX
Technology|Computer Software: Prepackaged Software|Docebo Inc. Common Shares(DCBO)(1.692B),DCBO
Technology|Computer Software: Prepackaged Software|DocuSign Inc. Common Stock(DOCU)(49.916B),DOCU
Technology|Computer Software: Prepackaged Software|Domo Inc. Class B Common Stock(DOMO)(2.024B),DOMO
Technology|Computer Software: Prepackaged Software|Dropbox Inc. Class A Common Stock(DBX)(10.080B),DBX
Technology|Computer Software: Prepackaged Software|Duck Creek Technologies Inc. Common Stock(DCT)(7.462B),DCT
Technology|Computer Software: Prepackaged Software|Duos Technologies Group Inc. Common Stock(DUOT)(0.025B),DUOT
Technology|Computer Software: Prepackaged Software|Dynatrace Inc. Common Stock(DT)(14.975B),DT
Technology|Computer Software: Prepackaged Software|Elastic N.V. Ordinary Shares(ESTC)(13.874B),ESTC
Technology|Computer Software: Prepackaged Software|Electronic Arts Inc. Common Stock(EA)(42.399B),EA
Technology|Computer Software: Prepackaged Software|Elys Game Technology Corp. Common Stock(ELYS)(0.111B),ELYS
Technology|Computer Software: Prepackaged Software|Everbridge Inc. Common Stock(EVBG)(4.980B),EVBG
Technology|Computer Software: Prepackaged Software|Fastly Inc. Class A Common Stock(FSLY)(9.103B),FSLY
Technology|Computer Software: Prepackaged Software|Foresight Autonomous Holdings Ltd. American Depositary Shares(FRSX)(0.554B),FRSX
Technology|Computer Software: Prepackaged Software|GSE Systems Inc. Common Stock(GVP)(0.050B),GVP
Technology|Computer Software: Prepackaged Software|Golden Nugget Online Gaming Inc. Class A Common Stock(GNOG)(1.158B),GNOG
Technology|Computer Software: Prepackaged Software|Golden Nugget Online Gaming Inc. Warrant(GNOGW)(0.000B),GNOGW
Technology|Computer Software: Prepackaged Software|Great Elm Group Inc. Common Stock(GEG)(0.082B),GEG
Technology|Computer Software: Prepackaged Software|Grid Dynamics Holdings Inc. Class A Common Stock(GDYN)(0.752B),GDYN
Technology|Computer Software: Prepackaged Software|Grid Dynamics Holdings Inc. Warrant(GDYNW)(0.000B),GDYNW
Technology|Computer Software: Prepackaged Software|Gridsum Holding Inc. American Depositary Shares(GSUM)(0.066B),GSUM
Technology|Computer Software: Prepackaged Software|Guidewire Software Inc. Common Stock(GWRE)(10.479B),GWRE
Technology|Computer Software: Prepackaged Software|HubSpot Inc. Common Stock(HUBS)(23.747B),HUBS
Technology|Computer Software: Prepackaged Software|Inspired Entertainment Inc. Common Stock(INSE)(0.194B),INSE
Technology|Computer Software: Prepackaged Software|Intellicheck Inc. Common Stock(IDN)(0.256B),IDN
Technology|Computer Software: Prepackaged Software|Intelligent Systems Corporation Common Stock(INS)(0.374B),INS
Technology|Computer Software: Prepackaged Software|Intuit Inc. Common Stock(INTU)(113.836B),INTU
Technology|Computer Software: Prepackaged Software|JFrog Ltd. Ordinary Shares(FROG)(6.120B),FROG
Technology|Computer Software: Prepackaged Software|Jamf Holding Corp. Common Stock(JAMF)(4.517B),JAMF
Technology|Computer Software: Prepackaged Software|Kingsoft Cloud Holdings Limited American Depositary Shares(KC)(14.328B),KC
Technology|Computer Software: Prepackaged Software|Landcadia Holdings III Inc. Class A Common Stock(LCY)(0.669B),LCY
Technology|Computer Software: Prepackaged Software|Lightspeed POS Inc. Subordinate Voting Shares(LSPD)(8.752B),LSPD
Technology|Computer Software: Prepackaged Software|Linx S.A. American Depositary Shares each representing one common share(LINX)(1.239B),LINX
Technology|Computer Software: Prepackaged Software|Liquid Media Group Ltd. Common Shares(YVR)(0.020B),YVR
Technology|Computer Software: Prepackaged Software|LivePerson Inc. Common Stock(LPSN)(4.560B),LPSN
Technology|Computer Software: Prepackaged Software|MTBC Inc. 11% Series A Cumulative Redeemable Perpetual Preferred Stock(MTBCP)(0.000B),MTBCP
Technology|Computer Software: Prepackaged Software|MTBC Inc. Common Stock(MTBC)(0.137B),MTBC
Technology|Computer Software: Prepackaged Software|Magic Software Enterprises Ltd. Ordinary Shares(MGIC)(0.866B),MGIC
Technology|Computer Software: Prepackaged Software|Manhattan Associates Inc. Common Stock(MANH)(8.512B),MANH
Technology|Computer Software: Prepackaged Software|Materialise NV American Depositary Shares(MTLS)(3.493B),MTLS
Technology|Computer Software: Prepackaged Software|McAfee Corp. Class A Common Stock(MCFE)(8.284B),MCFE
Technology|Computer Software: Prepackaged Software|MiX Telematics Limited American Depositary Shares each representing 25 Ordinary Shares(MIXT)(0.325B),MIXT
Technology|Computer Software: Prepackaged Software|Micro Focus Intl PLC ADS each representing One Ord Sh(MFGP)(1.980B),MFGP
Technology|Computer Software: Prepackaged Software|MicroStrategy Incorporated Common Stock Class A(MSTR)(8.895B),MSTR
"Technology|Computer Software: Prepackaged Software|Microsoft Corporation Common Stock(MSFT)(1,838.717B)",MSFT
Technology|Computer Software: Prepackaged Software|Mimecast Limited Ordinary Shares(MIME)(2.900B),MIME
Technology|Computer Software: Prepackaged Software|Momo Inc. American Depositary Shares(MOMO)(3.838B),MOMO
Technology|Computer Software: Prepackaged Software|MongoDB Inc. Class A Common Stock(MDB)(24.257B),MDB
Technology|Computer Software: Prepackaged Software|Motorsport Games Inc. Class A Common Stock(MSGM)(0.506B),MSGM
Technology|Computer Software: Prepackaged Software|My Size Inc. Common Stock(MYSZ)(0.014B),MYSZ
Technology|Computer Software: Prepackaged Software|NICE Ltd American Depositary Shares(NICE)(16.028B),NICE
Technology|Computer Software: Prepackaged Software|National Instruments Corporation Common Stock(NATI)(5.999B),NATI
Technology|Computer Software: Prepackaged Software|NetEase Inc. American Depositary Shares(NTES)(85.217B),NTES
Technology|Computer Software: Prepackaged Software|NetSol Technologies Inc. Common  Stock(NTWK)(0.056B),NTWK
Technology|Computer Software: Prepackaged Software|New Relic Inc. Common Stock(NEWR)(4.055B),NEWR
Technology|Computer Software: Prepackaged Software|NortonLifeLock Inc. Common Stock(NLOK)(12.127B),NLOK
Technology|Computer Software: Prepackaged Software|Nuance Communications Inc. Common Stock(NUAN)(13.788B),NUAN
Technology|Computer Software: Prepackaged Software|Nutanix Inc. Class A Common Stock(NTNX)(6.718B),NTNX
Technology|Computer Software: Prepackaged Software|ON24 Inc. Common Stock(ONTF)(2.890B),ONTF
Technology|Computer Software: Prepackaged Software|Okta Inc. Class A Common Stock(OKTA)(36.851B),OKTA
Technology|Computer Software: Prepackaged Software|Opera Limited American Depositary Shares(OPRA)(1.540B),OPRA
Technology|Computer Software: Prepackaged Software|Oracle Corporation Common Stock(ORCL)(182.736B),ORCL
Technology|Computer Software: Prepackaged Software|PDF Solutions Inc. Common Stock(PDFS)(0.779B),PDFS
Technology|Computer Software: Prepackaged Software|PTC Inc. Common Stock(PTC)(16.728B),PTC
Technology|Computer Software: Prepackaged Software|PagerDuty Inc. Common Stock(PD)(4.229B),PD
Technology|Computer Software: Prepackaged Software|Palantir Technologies Inc. Class A Common Stock(PLTR)(47.268B),PLTR
Technology|Computer Software: Prepackaged Software|Paycom Software Inc. Common Stock(PAYC)(23.142B),PAYC
Technology|Computer Software: Prepackaged Software|Paylocity Holding Corporation Common Stock(PCTY)(10.774B),PCTY
Technology|Computer Software: Prepackaged Software|Ping Identity Holding Corp. Common Stock(PING)(2.871B),PING
Technology|Computer Software: Prepackaged Software|Porch Group Inc. Common Stock(PRCH)(1.669B),PRCH
Technology|Computer Software: Prepackaged Software|Porch Group Inc. Warrant(PRCHW)(0.000B),PRCHW
Technology|Computer Software: Prepackaged Software|Progress Software Corporation Common Stock (DE)(PRGS)(1.986B),PRGS
Technology|Computer Software: Prepackaged Software|Q2 Holdings Inc. Common Stock(QTWO)(7.394B),QTWO
Technology|Computer Software: Prepackaged Software|QAD Inc. Class A Common Stock(QADA)(1.384B),QADA
Technology|Computer Software: Prepackaged Software|QAD Inc. Class B Common Stock(QADB)(0.977B),QADB
